"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10","testEqualitySimpleNoSchema","","Wed Apr 29 11:34:36 UTC 2026","passed","Wed Apr 29 11:34:36 UTC 2026","","eu.esdihumboldt.hale.common.filter.CQLFilterTest","eu.esdihumboldt.hale.common.filter.CQLFilterTest","testEqualitySimpleNoSchema"
"","5","testTimeEquals","","Wed Apr 29 11:34:36 UTC 2026","passed","Wed Apr 29 11:34:36 UTC 2026","","eu.esdihumboldt.hale.common.filter.ECQLFilterTest","eu.esdihumboldt.hale.common.filter.ECQLFilterTest","testTimeEquals"
"","335","testGeometryPrimitive_32_MultiPolygon_WindingOrder","","Wed Apr 29 11:37:28 UTC 2026","passed","Wed Apr 29 11:37:28 UTC 2026","","eu.esdihumboldt.hale.io.gml.writer.internal.StreamGmlWriterTest","eu.esdihumboldt.hale.io.gml.writer.internal.StreamGmlWriterTest","testGeometryPrimitive_32_MultiPolygon_WindingOrder"
"","3","testMixedProperty","","Wed Apr 29 11:39:13 UTC 2026","passed","Wed Apr 29 11:39:13 UTC 2026","","eu.esdihumboldt.hale.io.json.test.JsonSchemaReaderTest","eu.esdihumboldt.hale.io.json.test.JsonSchemaReaderTest","testMixedProperty"
"","112","testComplexLookup","","Wed Apr 29 11:35:00 UTC 2026","passed","Wed Apr 29 11:35:00 UTC 2026","","eu.esdihumboldt.hale.common.lookup.internal.LookupTableTypeTest","eu.esdihumboldt.hale.common.lookup.internal.LookupTableTypeTest","testComplexLookup"
"","24","testRead_shiporder_types","","Wed Apr 29 11:40:15 UTC 2026","passed","Wed Apr 29 11:40:15 UTC 2026","","eu.esdihumboldt.hale.io.xsd.reader.XmlSchemaReaderTest","eu.esdihumboldt.hale.io.xsd.reader.XmlSchemaReaderTest","testRead_shiporder_types"
"","1","testDisabled","","Wed Apr 29 11:35:09 UTC 2026","passed","Wed Apr 29 11:35:09 UTC 2026","","eu.esdihumboldt.hale.common.schema.model.constraint.factory.type.SkipValidationFactoryTest","eu.esdihumboldt.hale.common.schema.model.constraint.factory.type.SkipValidationFactoryTest","testDisabled"
"","3","testNamespaceIndexChildContext","","Wed Apr 29 11:34:03 UTC 2026","passed","Wed Apr 29 11:34:03 UTC 2026","","eu.esdihumboldt.hale.common.align.groovy.accessor.EntityAccessorTest","eu.esdihumboldt.hale.common.align.groovy.accessor.EntityAccessorTest","testNamespaceIndexChildContext"
"","0","testInstanceExistsSchema","","Wed Apr 29 11:34:36 UTC 2026","skipped","Wed Apr 29 11:34:36 UTC 2026","","eu.esdihumboldt.hale.common.filter.CQLFilterTest","eu.esdihumboldt.hale.common.filter.CQLFilterTest","testInstanceExistsSchema"
"","13","testEnabled","","Wed Apr 29 11:35:09 UTC 2026","passed","Wed Apr 29 11:35:09 UTC 2026","","eu.esdihumboldt.hale.common.schema.model.constraint.factory.type.AugmentedValueFlagFactoryTest","eu.esdihumboldt.hale.common.schema.model.constraint.factory.type.AugmentedValueFlagFactoryTest","testEnabled"
"","0","testUnifyWOHoles","","Wed Apr 29 11:40:26 UTC 2026","passed","Wed Apr 29 11:40:26 UTC 2026","","eu.esdihumboldt.util.geometry.WindingOrderTest","eu.esdihumboldt.util.geometry.WindingOrderTest","testUnifyWOHoles"
"","147","testFilterSame2","","Wed Apr 29 11:34:11 UTC 2026","passed","Wed Apr 29 11:34:11 UTC 2026","","eu.esdihumboldt.hale.common.align.merge.test.impl.DefaultMergeCellMigratorTest","eu.esdihumboldt.hale.common.align.merge.test.impl.DefaultMergeCellMigratorTest","testFilterSame2"
"","70","testWfsResolvedepthResponseStructure","","Wed Apr 29 11:37:13 UTC 2026","passed","Wed Apr 29 11:37:13 UTC 2026","","eu.esdihumboldt.hale.io.gml.reader.internal.StreamGmlReaderTest","eu.esdihumboldt.hale.io.gml.reader.internal.StreamGmlReaderTest","testWfsResolvedepthResponseStructure"
"","30","testLoopArrayPrettyPrint","","Wed Apr 29 11:40:31 UTC 2026","passed","Wed Apr 29 11:40:31 UTC 2026","","eu.esdihumboldt.util.groovy.json.JsonStreamBuilderTest","eu.esdihumboldt.util.groovy.json.JsonStreamBuilderTest","testLoopArrayPrettyPrint"
"","1104","testMerge","","Wed Apr 29 11:35:28 UTC 2026","passed","Wed Apr 29 11:35:30 UTC 2026","","eu.esdihumboldt.cst.internal.ConceptualSchemaTransformerTest","eu.esdihumboldt.cst.internal.ConceptualSchemaTransformerTest","testMerge"
