"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","testExistsNoSchema","","Mon Mar 09 07:59:15 UTC 2026","skipped","Mon Mar 09 07:59:15 UTC 2026","","eu.esdihumboldt.hale.common.filter.CQLFilterTest","eu.esdihumboldt.hale.common.filter.CQLFilterTest","testExistsNoSchema"
"","0","testGeometryNormalOnCRS","","Mon Mar 09 08:05:15 UTC 2026","passed","Mon Mar 09 08:05:15 UTC 2026","","eu.esdihumboldt.util.geometry.WindingOrderTest","eu.esdihumboldt.util.geometry.WindingOrderTest","testGeometryNormalOnCRS"
"","6","testCreateTypeIndex","","Mon Mar 09 07:59:50 UTC 2026","passed","Mon Mar 09 07:59:50 UTC 2026","","eu.esdihumboldt.hale.common.schema.groovy.SchemaBuilderTest","eu.esdihumboldt.hale.common.schema.groovy.SchemaBuilderTest","testCreateTypeIndex"
"","1","testRead","","Mon Mar 09 08:00:49 UTC 2026","passed","Mon Mar 09 08:00:49 UTC 2026","","eu.esdihumboldt.hale.io.csv.CSVSchemaReaderTest","eu.esdihumboldt.hale.io.csv.CSVSchemaReaderTest","testRead"
"","5","testNamespaceIndex","","Mon Mar 09 07:58:44 UTC 2026","passed","Mon Mar 09 07:58:44 UTC 2026","","eu.esdihumboldt.hale.common.align.groovy.accessor.EntityAccessorTest","eu.esdihumboldt.hale.common.align.groovy.accessor.EntityAccessorTest","testNamespaceIndex"
"","1929","testMsAccessSchemaReaderForMdbTest","","Mon Mar 09 08:02:29 UTC 2026","passed","Mon Mar 09 08:02:31 UTC 2026","","eu.esdihumboldt.hale.io.jdbc.msaccess.reader.MsAccessInstanceReaderTest","eu.esdihumboldt.hale.io.jdbc.msaccess.reader.MsAccessInstanceReaderTest","testMsAccessSchemaReaderForMdbTest"
"","142","testCMMulti3","","Mon Mar 09 08:00:16 UTC 2026","passed","Mon Mar 09 08:00:16 UTC 2026","","eu.esdihumboldt.cst.internal.ConceptualSchemaTransformerTest","eu.esdihumboldt.cst.internal.ConceptualSchemaTransformerTest","testCMMulti3"
"","5","testBefore","","Mon Mar 09 07:59:15 UTC 2026","passed","Mon Mar 09 07:59:15 UTC 2026","","eu.esdihumboldt.hale.common.filter.ECQLFilterTest","eu.esdihumboldt.hale.common.filter.ECQLFilterTest","testBefore"
"","99","testStructuralRename2","","Mon Mar 09 08:00:18 UTC 2026","passed","Mon Mar 09 08:00:18 UTC 2026","","eu.esdihumboldt.cst.internal.ConceptualSchemaTransformerTest","eu.esdihumboldt.cst.internal.ConceptualSchemaTransformerTest","testStructuralRename2"
"","1","testDisabled","","Mon Mar 09 07:59:47 UTC 2026","passed","Mon Mar 09 07:59:47 UTC 2026","","eu.esdihumboldt.hale.common.schema.model.constraint.factory.property.ChoiceFlagFactoryTest","eu.esdihumboldt.hale.common.schema.model.constraint.factory.property.ChoiceFlagFactoryTest","testDisabled"
"","5","testNestedArrayPrettyPrint","","Mon Mar 09 08:05:20 UTC 2026","passed","Mon Mar 09 08:05:20 UTC 2026","","eu.esdihumboldt.util.groovy.json.JsonStreamBuilderTest","eu.esdihumboldt.util.groovy.json.JsonStreamBuilderTest","testNestedArrayPrettyPrint"
"","21","testLoopArrayPrettyPrint","","Mon Mar 09 08:05:20 UTC 2026","passed","Mon Mar 09 08:05:20 UTC 2026","","eu.esdihumboldt.util.groovy.json.JsonStreamBuilderTest","eu.esdihumboldt.util.groovy.json.JsonStreamBuilderTest","testLoopArrayPrettyPrint"
"","0","testSubfolder","","Mon Mar 09 07:59:08 UTC 2026","passed","Mon Mar 09 07:59:08 UTC 2026","","eu.esdihumboldt.hale.common.core.io.PathUpdateTest","eu.esdihumboldt.hale.common.core.io.PathUpdateTest","testSubfolder"
"","10","testReadArrayNested","","Mon Mar 09 08:04:02 UTC 2026","passed","Mon Mar 09 08:04:02 UTC 2026","","eu.esdihumboldt.hale.io.json.test.JsonToInstanceTest","eu.esdihumboldt.hale.io.json.test.JsonToInstanceTest","testReadArrayNested"
"","1360","testCellDisableSaveLoad","","Mon Mar 09 07:58:37 UTC 2026","passed","Mon Mar 09 07:58:38 UTC 2026","","eu.esdihumboldt.hale.common.align.io.CastorAlignmentIOTest","eu.esdihumboldt.hale.common.align.io.CastorAlignmentIOTest","testCellDisableSaveLoad"
"","86","testCMUnion3","","Mon Mar 09 08:00:16 UTC 2026","passed","Mon Mar 09 08:00:16 UTC 2026","","eu.esdihumboldt.cst.internal.ConceptualSchemaTransformerTest","eu.esdihumboldt.cst.internal.ConceptualSchemaTransformerTest","testCMUnion3"
"","0","testCMUnion2","","Mon Mar 09 08:00:08 UTC 2026","skipped","Mon Mar 09 08:00:08 UTC 2026","","eu.esdihumboldt.cst.internal.ConceptualSchemaTransformerTest","eu.esdihumboldt.cst.internal.ConceptualSchemaTransformerTest","testCMUnion2"
