"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","testHttpAbsoluteOtherHttp","","Wed Jul 08 09:56:22 UTC 2026","passed","Wed Jul 08 09:56:22 UTC 2026","","eu.esdihumboldt.hale.io.xsd.reader.HumboldtURIResolverTest","eu.esdihumboldt.hale.io.xsd.reader.HumboldtURIResolverTest","testHttpAbsoluteOtherHttp"
"","0","testLimit2","","Wed Jul 08 09:43:38 UTC 2026","passed","Wed Jul 08 09:43:38 UTC 2026","","eu.esdihumboldt.hale.common.core.io.supplier.LookupStreamResourceTest","eu.esdihumboldt.hale.common.core.io.supplier.LookupStreamResourceTest","testLimit2"
"","73","testBaseAlignmentSaveLoad","","Wed Jul 08 09:42:09 UTC 2026","passed","Wed Jul 08 09:42:09 UTC 2026","","eu.esdihumboldt.hale.common.align.io.JaxbAlignmentIOTest","eu.esdihumboldt.hale.common.align.io.JaxbAlignmentIOTest","testBaseAlignmentSaveLoad"
"","8823","testNestingAll","","Wed Jul 08 09:45:42 UTC 2026","passed","Wed Jul 08 09:45:51 UTC 2026","","eu.esdihumboldt.hale.common.schema.groovy.DefinitionAccessorTest","eu.esdihumboldt.hale.common.schema.groovy.DefinitionAccessorTest","testNestingAll"
"","19","testEnabled","","Wed Jul 08 09:45:37 UTC 2026","passed","Wed Jul 08 09:45:37 UTC 2026","","eu.esdihumboldt.hale.common.schema.model.constraint.factory.type.HasValueFlagFactoryTest","eu.esdihumboldt.hale.common.schema.model.constraint.factory.type.HasValueFlagFactoryTest","testEnabled"
"","1","testNoGeom","","Wed Jul 08 09:45:37 UTC 2026","passed","Wed Jul 08 09:45:37 UTC 2026","","eu.esdihumboldt.hale.common.schema.model.constraint.factory.type.GeometryTypeFactoryTest","eu.esdihumboldt.hale.common.schema.model.constraint.factory.type.GeometryTypeFactoryTest","testNoGeom"
"","142","testFilterSame6","","Wed Jul 08 09:42:53 UTC 2026","passed","Wed Jul 08 09:42:53 UTC 2026","","eu.esdihumboldt.hale.common.align.merge.test.impl.DefaultMergeCellMigratorTest","eu.esdihumboldt.hale.common.align.merge.test.impl.DefaultMergeCellMigratorTest","testFilterSame6"
"","0","testPropertyMerge","","Wed Jul 08 09:47:03 UTC 2026","skipped","Wed Jul 08 09:47:03 UTC 2026","","eu.esdihumboldt.cst.internal.ConceptualSchemaTransformerTest","eu.esdihumboldt.cst.internal.ConceptualSchemaTransformerTest","testPropertyMerge"
"","0","testGeometryFlippedOnNULLCRS","","Wed Jul 08 09:56:54 UTC 2026","passed","Wed Jul 08 09:56:54 UTC 2026","","eu.esdihumboldt.util.geometry.WindingOrderTest","eu.esdihumboldt.util.geometry.WindingOrderTest","testGeometryFlippedOnNULLCRS"
"","8","testReadModeSingleObject","","Wed Jul 08 09:53:59 UTC 2026","passed","Wed Jul 08 09:53:59 UTC 2026","","eu.esdihumboldt.hale.io.json.test.JsonInstanceReaderTest","eu.esdihumboldt.hale.io.json.test.JsonInstanceReaderTest","testReadModeSingleObject"
"","0","testGeometry_2_Point","","Wed Jul 08 09:51:00 UTC 2026","skipped","Wed Jul 08 09:51:00 UTC 2026","","eu.esdihumboldt.hale.io.gml.writer.internal.StreamGmlWriterTest","eu.esdihumboldt.hale.io.gml.writer.internal.StreamGmlWriterTest","testGeometry_2_Point"
"","1","testInstanceReader","","Wed Jul 08 09:52:01 UTC 2026","skipped","Wed Jul 08 09:52:01 UTC 2026","","eu.esdihumboldt.hale.io.jdbc.mssql.test.MsSQLServer14Test","eu.esdihumboldt.hale.io.jdbc.mssql.test.MsSQLServer14Test","testInstanceReader"
"","1","testSample1","","Wed Jul 08 09:56:54 UTC 2026","passed","Wed Jul 08 09:56:54 UTC 2026","","eu.esdihumboldt.util.geometry.interpolation.grid.GridUtilTest","eu.esdihumboldt.util.geometry.interpolation.grid.GridUtilTest","testSample1"
"","64","testWriteSimpleSchemaWithByteArrayOutputStream","","Wed Jul 08 09:49:03 UTC 2026","passed","Wed Jul 08 09:49:04 UTC 2026","","eu.esdihumboldt.hale.io.csv.writer.CSVInstanceWriterTest","eu.esdihumboldt.hale.io.csv.writer.CSVInstanceWriterTest","testWriteSimpleSchemaWithByteArrayOutputStream"
"","25","testRead_shiporder_types","","Wed Jul 08 09:56:24 UTC 2026","passed","Wed Jul 08 09:56:24 UTC 2026","","eu.esdihumboldt.hale.io.xsd.reader.XmlSchemaReaderTest","eu.esdihumboldt.hale.io.xsd.reader.XmlSchemaReaderTest","testRead_shiporder_types"
"","50","testEmpty","","Wed Jul 08 09:45:37 UTC 2026","passed","Wed Jul 08 09:45:37 UTC 2026","","eu.esdihumboldt.hale.common.schema.model.constraint.factory.type.ValidationConstraintFactoryTest","eu.esdihumboldt.hale.common.schema.model.constraint.factory.type.ValidationConstraintFactoryTest","testEmpty"
"","6","testHalfCircle","","Wed Jul 08 09:56:55 UTC 2026","passed","Wed Jul 08 09:56:55 UTC 2026","","eu.esdihumboldt.util.geometry.interpolation.split.SplitInterpolationTest","eu.esdihumboldt.util.geometry.interpolation.split.SplitInterpolationTest","testHalfCircle"
"","38","testCallClosure","","Wed Jul 08 09:51:17 UTC 2026","passed","Wed Jul 08 09:51:17 UTC 2026","","eu.esdihumboldt.hale.io.groovy.snippets.GroovySnippetsTest","eu.esdihumboldt.hale.io.groovy.snippets.GroovySnippetsTest","testCallClosure"
"","1","testCurve2","","Wed Jul 08 09:47:43 UTC 2026","passed","Wed Jul 08 09:47:43 UTC 2026","","eu.esdihumboldt.cst.functions.geometric.test.InteriorPointTest","eu.esdihumboldt.cst.functions.geometric.test.InteriorPointTest","testCurve2"
"","3","testName","","Wed Jul 08 09:45:51 UTC 2026","passed","Wed Jul 08 09:45:51 UTC 2026","","eu.esdihumboldt.hale.common.schema.groovy.constraints.DisplayNameFactoryTest","eu.esdihumboldt.hale.common.schema.groovy.constraints.DisplayNameFactoryTest","testName"
"","133","testMergeAdditionalProp","","Wed Jul 08 09:47:04 UTC 2026","passed","Wed Jul 08 09:47:04 UTC 2026","","eu.esdihumboldt.cst.internal.ConceptualSchemaTransformerTest","eu.esdihumboldt.cst.internal.ConceptualSchemaTransformerTest","testMergeAdditionalProp"
"","92","testSimpleMerge","","Wed Jul 08 09:47:04 UTC 2026","passed","Wed Jul 08 09:47:04 UTC 2026","","eu.esdihumboldt.cst.internal.ConceptualSchemaTransformerTest","eu.esdihumboldt.cst.internal.ConceptualSchemaTransformerTest","testSimpleMerge"
"","5","testLoopArrayTypeSafe","","Wed Jul 08 09:57:09 UTC 2026","passed","Wed Jul 08 09:57:09 UTC 2026","","eu.esdihumboldt.util.groovy.json.JsonStreamBuilderTest","eu.esdihumboldt.util.groovy.json.JsonStreamBuilderTest","testLoopArrayTypeSafe"
"","425","testRequestNoCache","","Wed Jul 08 09:43:06 UTC 2026","passed","Wed Jul 08 09:43:06 UTC 2026","","eu.esdihumboldt.hale.common.cache.RequestTest","eu.esdihumboldt.hale.common.cache.RequestTest","testRequestNoCache"
"","2","testMerge3","","Wed Jul 08 09:43:38 UTC 2026","passed","Wed Jul 08 09:43:38 UTC 2026","","eu.esdihumboldt.hale.common.core.report.util.StatsMergeTest","eu.esdihumboldt.hale.common.core.report.util.StatsMergeTest","testMerge3"
"","0","testGeometryNormalOnCRS","","Wed Jul 08 09:56:54 UTC 2026","passed","Wed Jul 08 09:56:54 UTC 2026","","eu.esdihumboldt.util.geometry.WindingOrderTest","eu.esdihumboldt.util.geometry.WindingOrderTest","testGeometryNormalOnCRS"
"","125","migrateJoinGroovyRetype","","Wed Jul 08 09:42:57 UTC 2026","passed","Wed Jul 08 09:42:57 UTC 2026","","eu.esdihumboldt.hale.common.align.merge.test.impl.GroovyRetypeMergeTest","eu.esdihumboldt.hale.common.align.merge.test.impl.GroovyRetypeMergeTest","migrateJoinGroovyRetype"
"","332","testGeometryPrimitive_32_MultiPolygon_WindingOrder_CCW","","Wed Jul 08 09:50:58 UTC 2026","passed","Wed Jul 08 09:50:59 UTC 2026","","eu.esdihumboldt.hale.io.gml.writer.internal.StreamGmlWriterTest","eu.esdihumboldt.hale.io.gml.writer.internal.StreamGmlWriterTest","testGeometryPrimitive_32_MultiPolygon_WindingOrder_CCW"
"","4389","checkComplexOrder","","Wed Jul 08 09:52:43 UTC 2026","passed","Wed Jul 08 09:52:47 UTC 2026","","eu.esdihumboldt.hale.io.jdbc.postgresql.test.CheckComplexTypeOrderIT","eu.esdihumboldt.hale.io.jdbc.postgresql.test.CheckComplexTypeOrderIT","checkComplexOrder"
"","1","testDefault","","Wed Jul 08 09:45:37 UTC 2026","passed","Wed Jul 08 09:45:37 UTC 2026","","eu.esdihumboldt.hale.common.schema.model.constraint.factory.type.SkipValidationFactoryTest","eu.esdihumboldt.hale.common.schema.model.constraint.factory.type.SkipValidationFactoryTest","testDefault"
"","10","testDoubleConsume","","Wed Jul 08 09:43:38 UTC 2026","passed","Wed Jul 08 09:43:38 UTC 2026","","eu.esdihumboldt.hale.common.core.io.supplier.LookupStreamResourceTest","eu.esdihumboldt.hale.common.core.io.supplier.LookupStreamResourceTest","testDoubleConsume"
"","4","testElementHasListOfObjects2","","Wed Jul 08 09:57:09 UTC 2026","passed","Wed Jul 08 09:57:09 UTC 2026","","eu.esdihumboldt.util.groovy.json.JsonStreamBuilderTest","eu.esdihumboldt.util.groovy.json.JsonStreamBuilderTest","testElementHasListOfObjects2"
"","152","testWriteDocument","","Wed Jul 08 09:57:33 UTC 2026","passed","Wed Jul 08 09:57:33 UTC 2026","","eu.esdihumboldt.util.orient.embedded.LocalDocumentTest","eu.esdihumboldt.util.orient.embedded.LocalDocumentTest","testWriteDocument"
"","38","testSKOSFromRDF2","","Wed Jul 08 09:48:38 UTC 2026","passed","Wed Jul 08 09:48:38 UTC 2026","","eu.esdihumboldt.hale.io.codelist.skos.test.SkosCodeListTest","eu.esdihumboldt.hale.io.codelist.skos.test.SkosCodeListTest","testSKOSFromRDF2"
"","2","testNumberProperty","","Wed Jul 08 09:53:59 UTC 2026","passed","Wed Jul 08 09:53:59 UTC 2026","","eu.esdihumboldt.hale.io.json.test.JsonSchemaReaderTest","eu.esdihumboldt.hale.io.json.test.JsonSchemaReaderTest","testNumberProperty"
"","4","testNotEqualSimple","","Wed Jul 08 09:43:54 UTC 2026","passed","Wed Jul 08 09:43:54 UTC 2026","","eu.esdihumboldt.hale.common.filter.ECQLFilterTest","eu.esdihumboldt.hale.common.filter.ECQLFilterTest","testNotEqualSimple"
"","0","testGeometryPrimitive_32_CompositeCurve_MultiLineString","","Wed Jul 08 09:50:48 UTC 2026","skipped","Wed Jul 08 09:50:48 UTC 2026","","eu.esdihumboldt.hale.io.gml.writer.internal.StreamGmlWriter2Test","eu.esdihumboldt.hale.io.gml.writer.internal.StreamGmlWriter2Test","testGeometryPrimitive_32_CompositeCurve_MultiLineString"
