"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8","testCycle","","Thu Jul 09 23:35:19 UTC 2026","passed","Thu Jul 09 23:35:19 UTC 2026","","eu.esdihumboldt.util.DependencyOrderedListTest","eu.esdihumboldt.util.DependencyOrderedListTest","testCycle"
"","0","testInnerJoinNasIndexBased","","Thu Jul 09 23:26:02 UTC 2026","skipped","Thu Jul 09 23:26:02 UTC 2026","","eu.esdihumboldt.cst.internal.ConceptualSchemaTransformerTest","eu.esdihumboldt.cst.internal.ConceptualSchemaTransformerTest","testInnerJoinNasIndexBased"
"","49","testLoadChoice2","","Thu Jul 09 23:28:46 UTC 2026","passed","Thu Jul 09 23:28:46 UTC 2026","","eu.esdihumboldt.hale.io.gml.reader.internal.GmlInstanceCollectionTest","eu.esdihumboldt.hale.io.gml.reader.internal.GmlInstanceCollectionTest","testLoadChoice2"
"","93","testCardinalityMove","","Thu Jul 09 23:26:13 UTC 2026","passed","Thu Jul 09 23:26:13 UTC 2026","","eu.esdihumboldt.cst.internal.ConceptualSchemaTransformerTest","eu.esdihumboldt.cst.internal.ConceptualSchemaTransformerTest","testCardinalityMove"
"","80","testCMUnion4","","Thu Jul 09 23:26:12 UTC 2026","passed","Thu Jul 09 23:26:13 UTC 2026","","eu.esdihumboldt.cst.internal.ConceptualSchemaTransformerTest","eu.esdihumboldt.cst.internal.ConceptualSchemaTransformerTest","testCMUnion4"
"","4","testNotEqualList","","Thu Jul 09 23:23:08 UTC 2026","passed","Thu Jul 09 23:23:08 UTC 2026","","eu.esdihumboldt.hale.common.filter.CQLFilterTest","eu.esdihumboldt.hale.common.filter.CQLFilterTest","testNotEqualList"
"","67","testLoadShiporder","","Thu Jul 09 23:23:23 UTC 2026","passed","Thu Jul 09 23:23:23 UTC 2026","","eu.esdihumboldt.hale.common.instance.helper.PropertyResolverTest","eu.esdihumboldt.hale.common.instance.helper.PropertyResolverTest","testLoadShiporder"
"","5","testConsumeMap","","Thu Jul 09 23:27:11 UTC 2026","passed","Thu Jul 09 23:27:11 UTC 2026","","eu.esdihumboldt.cst.functions.groovy.helpers.util.CollectorTest","eu.esdihumboldt.cst.functions.groovy.helpers.util.CollectorTest","testConsumeMap"
"","12976","testFormattingStringInstance","","Thu Jul 09 23:25:46 UTC 2026","passed","Thu Jul 09 23:25:59 UTC 2026","","eu.esdihumboldt.cst.internal.ConceptualSchemaTransformerTest","eu.esdihumboldt.cst.internal.ConceptualSchemaTransformerTest","testFormattingStringInstance"
"","265","testTypeFilter3Present","","Thu Jul 09 23:22:05 UTC 2026","passed","Thu Jul 09 23:22:06 UTC 2026","","eu.esdihumboldt.hale.common.align.merge.test.impl.DefaultMergeCellMigratorTest","eu.esdihumboldt.hale.common.align.merge.test.impl.DefaultMergeCellMigratorTest","testTypeFilter3Present"
"","14","testEnabled","","Thu Jul 09 23:24:49 UTC 2026","passed","Thu Jul 09 23:24:49 UTC 2026","","eu.esdihumboldt.hale.common.schema.model.constraint.factory.type.MappingRelevantFlagFactoryTest","eu.esdihumboldt.hale.common.schema.model.constraint.factory.type.MappingRelevantFlagFactoryTest","testEnabled"
"","52","testRunsInHale","","Thu Jul 09 23:30:13 UTC 2026","passed","Thu Jul 09 23:30:13 UTC 2026","","eu.esdihumboldt.hale.io.groovy.snippets.GroovySnippetsTest","eu.esdihumboldt.hale.io.groovy.snippets.GroovySnippetsTest","testRunsInHale"
"","68","testWfsResolvedepthResponseStructure","","Thu Jul 09 23:29:34 UTC 2026","passed","Thu Jul 09 23:29:34 UTC 2026","","eu.esdihumboldt.hale.io.gml.reader.internal.StreamGmlReaderTest","eu.esdihumboldt.hale.io.gml.reader.internal.StreamGmlReaderTest","testWfsResolvedepthResponseStructure"
"","162","testFilterSame2","","Thu Jul 09 23:22:05 UTC 2026","passed","Thu Jul 09 23:22:05 UTC 2026","","eu.esdihumboldt.hale.common.align.merge.test.impl.DefaultMergeCellMigratorTest","eu.esdihumboldt.hale.common.align.merge.test.impl.DefaultMergeCellMigratorTest","testFilterSame2"
