"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Dec 04 09:18:33 GMT 2024","Wed Dec 04 09:18:33 GMT 2024","0","","eu.esdihumboldt.util.orient.embedded.BrowseClassIterateTest","","eu.esdihumboldt.util.orient.embedded.BrowseClassIterateTest","testHasNext","testHasNext",""
"passed","Wed Dec 04 09:17:13 GMT 2024","Wed Dec 04 09:17:13 GMT 2024","667","","eu.esdihumboldt.hale.io.pb.test.ProtocolBufferInstanceWriterTest","","eu.esdihumboldt.hale.io.pb.test.ProtocolBufferInstanceWriterTest","testConvertJson2PB","testConvertJson2PB",""
"passed","Wed Dec 04 09:12:03 GMT 2024","Wed Dec 04 09:12:03 GMT 2024","10","","eu.esdihumboldt.hale.common.filter.CQLFilterTest","","eu.esdihumboldt.hale.common.filter.CQLFilterTest","testNullList","testNullList",""
"passed","Wed Dec 04 09:11:55 GMT 2024","Wed Dec 04 09:11:56 GMT 2024","593","","eu.esdihumboldt.hale.common.core.io.impl.TextTypeJsonTest","","eu.esdihumboldt.hale.common.core.io.impl.TextTypeJsonTest","testToFrom","testToFrom",""
"skipped","Wed Dec 04 09:15:05 GMT 2024","Wed Dec 04 09:15:05 GMT 2024","0","","eu.esdihumboldt.hale.io.gml.writer.internal.StreamGmlWriter2Test","","eu.esdihumboldt.hale.io.gml.writer.internal.StreamGmlWriter2Test","testGeometryPrimitive_32_Curve_MultiLineString","testGeometryPrimitive_32_Curve_MultiLineString",""
"passed","Wed Dec 04 09:18:00 GMT 2024","Wed Dec 04 09:18:00 GMT 2024","70","","eu.esdihumboldt.hale.io.xls.test.reader.XLSReaderTest","","eu.esdihumboldt.hale.io.xls.test.reader.XLSReaderTest","testReadMultiSheetTypeSettingsIndex","testReadMultiSheetTypeSettingsIndex",""
"passed","Wed Dec 04 09:13:27 GMT 2024","Wed Dec 04 09:13:27 GMT 2024","2","","eu.esdihumboldt.cst.functions.geometric.test.InteriorPointTest","","eu.esdihumboldt.cst.functions.geometric.test.InteriorPointTest","testStreetHole","testStreetHole",""
"passed","Wed Dec 04 09:13:33 GMT 2024","Wed Dec 04 09:13:34 GMT 2024","625","","eu.esdihumboldt.cst.functions.groovy.helpers.CryptoHelpersTest","","eu.esdihumboldt.cst.functions.groovy.helpers.CryptoHelpersTest","testSha256_String","testSha256_String",""
"passed","Wed Dec 04 09:12:03 GMT 2024","Wed Dec 04 09:12:03 GMT 2024","5","","eu.esdihumboldt.hale.common.filter.ECQLFilterTest","","eu.esdihumboldt.hale.common.filter.ECQLFilterTest","testGetReferencesNested","testGetReferencesNested",""
"passed","Wed Dec 04 09:10:42 GMT 2024","Wed Dec 04 09:10:46 GMT 2024","3743","","eu.esdihumboldt.hale.app.transform.test.ExecuteTest","","eu.esdihumboldt.hale.app.transform.test.ExecuteTest","testGroovyFilterForHydro","testGroovyFilterForHydro",""
"passed","Wed Dec 04 09:10:36 GMT 2024","Wed Dec 04 09:10:39 GMT 2024","3113","","eu.esdihumboldt.hale.app.transform.test.ExecuteTest","","eu.esdihumboldt.hale.app.transform.test.ExecuteTest","testFiltersForMultiType3","testFiltersForMultiType3",""
